"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"59","tt0029583","Mon Jul  2 00:09:18 2012","Mon Jul  2 00:09:18 2012","","Snow White and the Seven Dwarfs","Feature Film","William Cottrell, David Hand","7.8","83","1937","animation, family, fantasy, musical, romance","69457","1937-12-21","http://www.imdb.com/title/tt0029583/"
"60","tt0413267","Mon Jul  2 00:07:17 2012","Mon Jul  2 00:07:17 2012","","Shrek the Third","Feature Film","Chris Miller, Raman Hui","6.0","93","2007","animation, adventure, comedy, family, fantasy","112582","2007-05-06","http://www.imdb.com/title/tt0413267/"
"61","tt0307453","Mon Jul  2 00:02:56 2012","Mon Jul  2 00:02:56 2012","","Shark Tale","Feature Film","Bibo Bergeron, Vicky Jenson","5.9","90","2004","animation, adventure, comedy, family","73542","2004-09-10","http://www.imdb.com/title/tt0307453/"
"62","tt0400717","Mon Jul  2 00:19:45 2012","Mon Jul  2 00:19:45 2012","","Open Season","Feature Film","Roger Allers, Jill Culton","6.1","83","2006","animation, adventure, comedy, family","33263","2006-09-29","http://www.imdb.com/title/tt0400717/"
"63","tt0308644","Mon Jul  2 00:11:55 2012","Mon Jul  2 00:11:55 2012","","Finding Neverland","Feature Film","Marc Forster","7.8","106","2004","biography, drama, family","122397","2004-09-04","http://www.imdb.com/title/tt0308644/"
"64","tt1217209","Mon Jul  2 00:12:16 2012","Mon Jul  2 00:12:16 2012","","Brave","Feature Film","Mark Andrews, Brenda Chapman","7.5","100","2012","animation, action, adventure, comedy, family, fantasy","40362","2012-06-10","http://www.imdb.com/title/tt1217209/"
"65","tt0368578","Mon Jul  2 00:21:40 2012","Mon Jul  2 00:21:40 2012","","Are We There Yet?","Feature Film","Brian Levant","4.2","95","2005","adventure, comedy, drama, family, romance","13490","2005-01-21","http://www.imdb.com/title/tt0368578/"
"66","tt0389790","Mon Jul  2 00:14:16 2012","Mon Jul  2 00:14:16 2012","","Bee Movie","Feature Film","Steve Hickner, Simon J. Smith","6.2","91","2007","animation, adventure, comedy, family","58843","2007-10-28","http://www.imdb.com/title/tt0389790/"
"67","tt0397892","Mon Jul  2 00:15:17 2012","Mon Jul  2 00:15:17 2012","","Bolt","Feature Film","Byron Howard, Chris Williams","7.1","96","2008","animation, adventure, comedy, family","74622","2008-11-17","http://www.imdb.com/title/tt0397892/"
"68","tt0845046","Mon Jul  2 00:19:02 2012","Mon Jul  2 00:19:02 2012","","Son of Rambow","Feature Film","Garth Jennings","7.0","96","2007","action, adventure, comedy, drama, family","18921","2007-01-22","http://www.imdb.com/title/tt0845046/"
