"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"27","tt0057129","Sat Mar 10 03:27:48 2012","Sat Mar 10 03:27:48 2012","","The Haunting","Feature Film","Robert Wise","7.7","112","1963","drama, horror","16349","1963-08","http://www.imdb.com/title/tt0057129/"
"28","tt0058213","Thu Jul 19 09:29:07 2012","Thu Jul 19 09:29:07 2012","","Hush...Hush, Sweet Charlotte","Feature Film","Robert Aldrich","7.5","133","1964","drama, horror, thriller","5504","1964-12-15","http://www.imdb.com/title/tt0058213/"
"29","tt0058329","Fri Sep  7 09:08:12 2012","Fri Sep  7 09:08:12 2012","","Marnie","Feature Film","Alfred Hitchcock","7.2","130","1964","drama, mystery, romance, thriller","20399","1964-07-09","http://www.imdb.com/title/tt0058329/"
"30","tt0059043","Thu Aug  2 02:12:52 2012","Thu Aug  2 02:12:52 2012","","The Collector","Feature Film","William Wyler","7.5","119","1965","drama, horror, thriller","4417","1965-05","http://www.imdb.com/title/tt0059043/"
"31","tt0059646","Sat Mar 10 03:01:00 2012","Sat Mar 10 03:01:00 2012","","Repulsion","Feature Film","Roman Polanski","7.8","105","1965","drama, horror, mystery, thriller","20384","1965-05","http://www.imdb.com/title/tt0059646/"
"32","tt0060268","Thu Jul 19 09:27:42 2012","Thu Jul 19 09:27:42 2012","","Cul-de-sac","Feature Film","Roman Polanski","7.2","113","1966","comedy, drama, thriller","5366","1966-06-30","http://www.imdb.com/title/tt0060268/"
"33","tt0060176","Thu Jul 19 09:33:14 2012","Thu Jul 19 09:33:14 2012","","Blow-Up","Feature Film","Michelangelo Antonioni","7.6","111","1966","mystery, thriller","25215","1966-12-18","http://www.imdb.com/title/tt0060176/"
"34","tt0062467","Fri Jun 22 10:14:38 2012","Fri Jun 22 10:14:38 2012","","Wait Until Dark","Feature Film","Terence Young","7.8","108","1967","crime, drama, horror, thriller","13285","1967-10-26","http://www.imdb.com/title/tt0062467/"
"35","tt0063522","Sat Mar 10 02:57:38 2012","Sat Mar 10 02:57:38 2012","","Rosemary's Baby","Feature Film","Roman Polanski","8.0","136","1968","drama, horror, mystery","83693","1968-06-12","http://www.imdb.com/title/tt0063522/"
"36","tt0065143","Thu Oct 18 08:50:58 2012","Thu Oct 18 08:50:58 2012","","The Bird with the Crystal Plumage","Feature Film","Dario Argento","7.1","98","1970","mystery, thriller","7338","1970-02-19","http://www.imdb.com/title/tt0065143/"
"37","tt0067800","Sat Mar 10 02:57:53 2012","Sat Mar 10 02:57:53 2012","","Straw Dogs","Feature Film","Sam Peckinpah","7.6","118","1971","thriller","30141","1971-11-03","http://www.imdb.com/title/tt0067800/"
